State,Constituency Name,Candidate,Party,Votes Margin,Year
Andhra Pradesh,Kurnool,Ayushman Doctor Sanjeev Kumar,YSRCP,148889,2019
Andhra Pradesh,Rajahmundry,Aruna Kumar Vundavalli,INC,148820,2004
Tamil Nadu,Chengalpattu,"Moorthy, A.K.",PMK,148724,2004
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,YSRCP,148571,2019
Tamil Nadu,Tiruvannamalai,Thiru Danapal Venugopal,DMK,148300,2009
Orissa,Mayurbhanj,Salkhan Murmu,BJP,148082,1999
Bihar,Nawada,Chandan Singh,LJP,148072,2019
Madhya Pradesh,Sagar,Virendra Kumar,BJP,147991,2004
Bihar,Sitamarhi,Ram Kumar Sharma,RLSP,147965,2014
Haryana,Karnal,I.D. Swami,BJP,147854,1999
Karnataka,Bangalore North,Shri D.V. Sadananda Gowda,BJP,147518,2019
Madhya Pradesh,Morena,Ashok Chhaviram Argal,BJP,147320,2004
Bihar,Arrah,Rajkumar Singh,BJP,147285,2019
Chhattisgarh,Surguja,Kamalbhan Singh Marabi,BJP,147236,2014
West Bengal,Ghatal,Gurudas Dasgupta,CPI,147184,2009
Tamil Nadu,Salem,Parthiban.S.R,DMK,146926,2019
Tamil Nadu,Kancheepuram,Maragatham K,AIADMK,146866,2014
Madhya Pradesh,Gwalior,Shri Vivek Sejwalkar,BJP,146842,2019
Telangana,Mahabubabad,Kavitha Malothu,TRS,146663,2019
West Bengal,Bangaon,Kapil Krishna Thakur,AITC,146601,2014
Maharashtra,Raigad,Anant Gangaram Geete,SHS,146521,2009
Bihar,Araria,Tasleem Uddin,RJD,146504,2014
Uttar Pradesh,Jaunpur,Krishna Pratap (K.P.),BJP,146310,2014
Uttar Pradesh,Ghosi,Harinarayan Rajbhar,BJP,146015,2014
West Bengal,Purulia,Bir Singh Mahato,AIFB,145718,2004
Tamil Nadu,Nagercoil,"Radhakrishnan,P.",BJP,145643,1999
Tamil Nadu,Virudhunagar,Radhakrishnan T,AIADMK,145551,2014
Gujarat,Porbandar,Radadiya Vithalbhai Hansrajbhai,BJP,145523,2009
Uttar Pradesh,Mohanlalganj,Kaushal Kishore,BJP,145416,2014
West Bengal,Alipurduars,Joachim Baxla,RSP,145124,2004
Karnataka,Dharwad South,Manjunath Channappa,BJP,145112,2004
Haryana,Rohtak,Inder Singh,INLD,144693,1999
Telangana,Zahirabad,B.B. Patil,TRS,144631,2014
Tamil Nadu,Thanjavur,Parasuraman.K,AIADMK,144119,2014
Delhi,North East Delhi,Manoj Tiwari,BJP,144084,2014
Tamil Nadu,Cuddalore,T. R. V .S. Ramesh,DMK,143983,2019
Gujarat,Rajkot,Dr. Kathiria Vallabhbhai Ramjibhai,BJP,143970,2004
Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,143709,2014
Assam,Nawgong,Rajen Gohain,BJP,143559,2014
Bihar,Darbhanga,Md. Ali Ashraf Fatmi,RJD,143463,2004
Bihar,Rosera,Ram Chandra Paswan,JD(U),142916,1999
Uttar Pradesh,Gorakhpur,Aditya Nath,BJP,142039,2004
Jammu And Kashmir,Jammu,Vishno Datt Sharma,BJP,142019,1999
Gujarat,Banaskantha,Chaudhary Haribhai Parthibhai,BJP,141977,2009
Orissa,Balasore,Rabindra Kumar Jena,BJD,141825,2014
Rajasthan,Jaipur,Girdhari Lal Bhargava,BJP,141790,1999
Chhattisgarh,Bilaspur,Shri Arun Sao,BJP,141763,2019
Karnataka,Hassan,G.Putta Swamy Gowda,INC,141757,1999
Andhra Pradesh,Anantapur,TALARI RANGAIAH,YSRCP,141428,2019
Karnataka,Hassan,Prajwal Revanna,JD(S),141324,2019
Karnataka,Chamarajanagar,R. Dhruvanarayana,INC,141182,2014
Tamil Nadu,Madurai,M. K. Alagiri,DMK,140985,2009
Tamil Nadu,Pollachi,Mahendran.C,AIADMK,140974,2014
Maharashtra,Beed,Gopinath Pandurang Munde,BJP,140952,2009
Karnataka,Haveri,Udasi. S.C.,BJP,140882,2019
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,YSRCP,140748,2019
Karnataka,Uttara Kannada,Anantkumar Hegde,BJP,140700,2014
Rajasthan,Ganganagar,Bharat Ram Meghwal,INC,140668,2009
Punjab,Khadoor Sahib,Jasbir Singh Gill,INC,140573,2019
Assam,Barpeta,Abdul Khaleque,INC,140307,2019
Bihar,Nawada,Giriraj Singh,BJP,140157,2014
Andhra Pradesh,Bhongir,Komatireddy Raj Gopal Reddy,INC,139888,2009
Madhya Pradesh,Mandsaur,Dr Laxminarayan Pandeya,BJP,139633,2004
Uttar Pradesh,Ballia,Bharat Singh,BJP,139434,2014
Uttar Pradesh,Ambedkar Nagar,Hari Om Pandey,BJP,139429,2014
Tamil Nadu,Madurai,Su. Venkatesan,CPM,139395,2019
Haryana,Mahendragarh,Dr. Sudha Yadav,BJP,139140,1999
Andhra Pradesh,Siddipet,Sarvey Sathyanarayana,INC,138972,2004
Bihar,Khagaria,Dinesh Chandra Yadav,JD(U),138755,2009
Gujarat,Patan,Liladharbhai Khodaji Vaghela,BJP,138719,2014
Karnataka,Mysore,Shri Prathap Simha,BJP,138647,2019
Assam,Mangaldoi,Shri Dilip Saikia,BJP,138545,2019
West Bengal,Mathurapur,Choudhury Mohan Jatua,AITC,138436,2014
Bihar,Saran,Rajiv Pratap Rudy,BJP,138429,2019
Uttar Pradesh,Aonla,Dharmendra Kumar,BJP,138429,2014
Bihar,Rosera,Ram Chandra Paswan,LJNSP,138411,2004
Maharashtra,Mumbai-South-Central,Rahul Ramesh Shewale,SHS,138342,2014
Maharashtra,Amravati,Adsul Anandrao Vithoba,SHS,137932,2014
Andhra Pradesh,Nizamabad,Madhu Goud Yaskhi,INC,137871,2004
Rajasthan,Dausa,Dr. Kirodilal Meena,IND,137759,2009
Karnataka,Dharwad,Pralhad Venkatesh Joshi,BJP,137663,2009
Karnataka,Bangalore Central,P.C. Mohan,BJP,137500,2014
Orissa,Dhenkanal,Tathagata Satpathy,BJD,137340,2014
Andhra Pradesh,Chittoor,N.Reddeppa,YSRCP,137271,2019
Bihar,Araria,Pradeep Kumar Singh,BJP,137241,2019
West Bengal,Serampore,Kalyan Banerjee,AITC,137190,2009
Bihar,Maharajganj,Prabhu Nath Singh,RJD,137126,2009
Tamil Nadu,Madras Central,Murasoli Maran,DMK,136949,1999
Bihar,Katihar,Nikhil Kumar Choudhary,BJP,136852,1999
Tamil Nadu,Chennai South,Dr. J. Jayavardhan,AIADMK,136625,2014
Maharashtra,Beed,Munde Gopinathrao Pandurang,BJP,136454,2014
Madhya Pradesh,Hoshangabad,Sartaj Singh,BJP,136409,2004
Orissa,Balasore,Mahameghabahan Aira Kharabela Swain,BJP,136372,1999
West Bengal,Kolkata Dakshin,Subrata Bakshi,AITC,136339,2014
Delhi,Chandni Chowk,Dr. Harsh Vardhan,BJP,136320,2014
West Bengal,Maldaha Dakshin,Abu Hasem Khan Choudhury,INC,136280,2009
Bihar,Sheohar,Rama Devi,BJP,136239,2014
Punjab,Gurdaspur,Vinod Khanna,BJP,136065,2014
Gujarat,Vadodara,Balkrishna Khanderao Shukla,BJP,136028,2009
Tamil Nadu,Dharmapuri,R. Thamaraiselvan,DMK,135942,2009
Bihar,Arrah,Raj Kumar Singh,BJP,135870,2014
Gujarat,Junagadh,Chudasama Rajeshbhai Naranbhai,BJP,135832,2014
Rajasthan,Chittorgarh,Shrichand Kriplani,BJP,135770,2004
Karnataka,Chitradurga,Janardhana Swamy,BJP,135571,2009
Rajasthan,Bhilwara,Dr. C. P. Joshi,INC,135368,2009
Rajasthan,Tonk-Sawai Madhopur,Sukhbir Singh Jaunapuria,BJP,135311,2014
Punjab,Faridkot,Sukhbir Singh Badal,SAD,135279,2004
Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,134700,1999
Andhra Pradesh,Hindupur,B.K. Parthasarathi,TDP,134636,1999
West Bengal,Dum Dum,Tapan Sikdar,BJP,134561,1999
Tamil Nadu,Rasipuram,Rani. K,INC,134533,2004
Tamil Nadu,Madras Central,Dayanidhi Maran,DMK,134178,2004
Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,SHS,133287,2019
Chhattisgarh,Bilaspur,Dilip Singh Judeo,BJP,132999,2009
Madhya Pradesh,Morena,Anoop Mishra,BJP,132981,2014
Tamil Nadu,Madurai,"Mohan, P.",CPM,132840,2004
Maharashtra,Shirdi,Bhausaheb Wakchaure,SHS,132751,2009
Gujarat,Navsari,Chandrakant Raghunath Patil,BJP,132643,2009
Orissa,Aska,Hari Har Swain,BJD,132602,2004
Uttar Pradesh,Hardoi,Jai Prakash Rawat,BJP,132474,2019
Bihar,Buxar,Ashwini Kumar Choubey,BJP,132338,2014
Orissa,Puri,Braja Kishore Tripathy,BJD,131745,1999
Andhra Pradesh,Cuddapah,Y.S. Vivekananda Reddy,INC,131674,2004
Tamil Nadu,Cuddalore,Venkatapathy. K,DMK,131352,2004
Madhya Pradesh,Indore,Sumitra Mahajan,BJP,131315,1999
Uttar Pradesh,Ballia,Neeraj Shekhar,SP,131286,2004
Madhya Pradesh,Sagar,Bhoopendra Singh,BJP,131168,2009
Himachal Pradesh,Mandi,Maheshwar Singh,BJP,131025,1999
Maharashtra,Nandurbar,Gavit Manikrao Hodlya,INC,130771,1999
Maharashtra,Dhule,Dr. Bhamre Subhash Ramrao,BJP,130723,2014
Kerala,Badagara,P. Satheedevi,CPM,130589,2004
Andhra Pradesh,Visakhapatnam,Janardhana Reddy Nedurumalli,INC,130571,2004
Karnataka,Bangalore Rural,H.D. Kumaraswamy,JD(S),130275,2009
Maharashtra,Mumbai North Central,Smt. Poonam Mahajan,BJP,130005,2019
West Bengal,Mathurapur,Choudhury Mohan Jatua,AITC,129963,2009
Bihar,Siwan,M Sahabuddin,RJD,129840,1999
Andhra Pradesh,Guntur,Rayapati Sambasiva Rao,INC,129792,2004
Haryana,Kurukshetra,Raj Kumar Saini,BJP,129736,2014
Chhattisgarh,Raipur,Ramesh Bais,BJP,129519,2004
Kerala,Ponnani,G.M. Banatwalla,MUL,129478,1999
Haryana,Bhiwani-Mahendragarh,Dharambir S/O Bhale Ram,BJP,129394,2014
West Bengal,Bishnupur,Smt. Susmita Bauri,CPM,129366,2009
Himachal Pradesh,Hamirpur,Suresh Chandel,BJP,129247,1999
West Bengal,Kanthi,Sisir Kumar Adhikari,AITC,129103,2009
Uttar Pradesh,Bahraich,Akshaibar Lal,BJP,128752,2019
Tamil Nadu,Kanniyakumari,Radhakrishnan P.,BJP,128662,2014
Tamil Nadu,Chidambaram,"Chandrakasi, M",AIADMK,128495,2014
Uttar Pradesh,Etah,Kalyan Singh,IND,128268,2009
Andhra Pradesh,Nellore,Panabaka Lakshmi,INC,128224,2004
West Bengal,Jangipur,Pranab Mukherjee,INC,128149,2009
Maharashtra,Mumbai-South,Arvind Sawant,SHS,128148,2014
Tamil Nadu,Viluppuram,Ravikumar D,DMK,128068,2019
Rajasthan,Ajmer,Rasa Singh Rawat,BJP,127976,2004
Tamil Nadu,Dindigul,Udhaya Kumar .M,AIADMK,127845,2014
Bihar,Jhanjharpur,Devendra Prasad Yadav,JD(U),127814,1999
Orissa,Jajpur,Mohan Jena,BJD,127747,2009
Orissa,Berhampur,Sidhant Mohapatra,BJD,127720,2014
Gujarat,Dahod,Shri Jashvant Sinh Bhabhor,BJP,127596,2019
Andhra Pradesh,Srikakulam,Rammohan Naidu Kinjarapu,TDP,127572,2014
Maharashtra,Osmanabad,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,SHS,127566,2019
Uttarakhand,Hardwar,Harish Rawat,INC,127412,2009
Maharashtra,Parbhani,Jadhav Sanjay (Bandu) Haribhau,SHS,127155,2014
Tamil Nadu,Ramanathapuram,Navas Kani,Others,127122,2019
Orissa,Kendrapara,"Baijayant ""Jay"" Panda",BJD,127107,2009
West Bengal,Kolkata Uttar,Sudip Bandyopadhyay,AITC,127095,2019
Orissa,Sambalpur,Prasanna Acharya,BJD,126963,1999
West Bengal,Bolpur,Dr. Ram Chandra Dome,CPM,126882,2009
Bihar,Samastipur,Alok Kumar Mehta,RJD,126783,2004
Maharashtra,Ramtek,Krupal Balaji Tumane,SHS,126783,2019
Maharashtra,Satara,Udayanraje Bhosale,NCP,126528,2019
Orissa,Keonjhar,Yashbant Narayan Singh Laguri,BJD,126484,2009
Madhya Pradesh,Khandwa,Nandkumarsingh Chouhan ( Nandu Bhaiya ),BJP,126103,1999
Tamil Nadu,Tirunelveli,Prabakaran.K.R.P,AIADMK,126099,2014
Karnataka,Mandya,Sumalatha Ambareesh,Independent,125876,2019
Bihar,Sheohar,Smt. Rama Devi,BJP,125684,2009
Uttar Pradesh,Dhaurahra,Rekha,BJP,125675,2014
Madhya Pradesh,Guna,Dr. K.P. Yadav,BJP,125549,2019
West Bengal,Jadavpur,Sugata Bose,AITC,125203,2014
Maharashtra,Satara,Laxmanrao Pandurang Jadhav Patil,NCP,124771,1999
Andhra Pradesh,Warangal,Rajaiah Siricilla,INC,124661,2009
Haryana,Ambala,Rattan Lal Kataria,BJP,124478,1999
Andhra Pradesh,Khammam,Nama Nageswara Rao,TDP,124448,2009
Karnataka,Mandya,Ambareesh M. H.,INC,124438,2004
Chhattisgarh,Bastar,Dinesh Kashyap,BJP,124359,2014
Tamil Nadu,Thoothukkudi,Jeyasingh Thiyagaraj Natterjee.J,AIADMK,124002,2014
Maharashtra,Jalna,Danve Raosaheb Dadarao Patil,BJP,123909,1999
Gujarat,Bardoli,Vasava Parbhubhai Nagarbhai,BJP,123884,2014
Andhra Pradesh,Medak,A. Narendra,TRS,123766,2004
Uttar Pradesh,Maharajganj,Harsh Vardhan,INC,123628,2009
Uttar Pradesh,Lucknow,Atal Bihari Vajpayee,BJP,123624,1999
Kerala,Manjeri,E. Ahamed,MUL,123411,1999
West Bengal,Murshidabad,Moinul Hassan,CPM,123360,1999
Andhra Pradesh,Eluru,Kavuru Samba Siva Rao,INC,123291,2004
Maharashtra,Karad,Shriniwas Dadasaheb Patil (Marulkar),NCP,122961,1999
West Bengal,Barasat,Dr. (Smt.) Kakoli Ghosh Dastidar,AITC,122901,2009
Orissa,Dhenkanal,Tathagata Satapathy,BJD,122882,2004
Orissa,Mayurbhanj,Rama Chandra Hansdah,BJD,122866,2014
Maharashtra,Solapur,Mohite P.P.Shankarrao,BJP,122817,1999
Uttar Pradesh,Etah,Rajveer Singh,BJP,122670,2019
Uttar Pradesh,Ghosi,Atul Kumar Singh,BSP,122568,2019
Orissa,Bhadrak,Arjun Charan Sethi,BJD,122433,1999
Tamil Nadu,Tenkasi,"Appadurai, M.",CPI,122176,2004
Maharashtra,Aurangabad,Chandrakant Khaire,SHS,121923,2004
Gujarat,Gandhinagar,Lal Krishna Advani,BJP,121747,2009
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,YSRCP,121634,2019
Bihar,Jamshedpur,Abha Mahato,BJP,121488,1999
Andhra Pradesh,Kakinada,Mudragada Padmanabham,TDP,121435,1999
Jammu And Kashmir,Jammu,Madan Lal Sharma,INC,121373,2009
Madhya Pradesh,Chhindwara,Kamal Nath,INC,121220,2009
Orissa,Cuttack,Bhartruhari Mahtab,BJD,121201,2019
Punjab,Bathinda,Smt. Harsimrat Kaur Badal,SAD,120948,2009
Tamil Nadu,Pollachi,"Krishnan, Dr. C",MDMK,120921,2004
Madhya Pradesh,Guna,Jyotiraditya M Scindia,INC,120792,2014
Madhya Pradesh,Sagar,Laxmi Narayan Yadav,BJP,120737,2014
Andhra Pradesh,Amalapuram,Dr Pandula Ravindra Babu,TDP,120576,2014
Tamil Nadu,Tenkasi,Dhanush M Kumar,DMK,120286,2019
Maharashtra,Shirdi,Sadashiv Kishan Lokhande,SHS,120195,2019
Manipur,Outer Manipur,Thangso Baite,INC,119798,2009
Tamil Nadu,Chidambaram,"Ponnuswamy, E.",PMK,119563,1999
Uttar Pradesh,Ghazipur,Shri Afzal Ansari,BSP,119392,2019
Jharkhand,Dhanbad,Chandra Shekhar Dubey,INC,119378,2004
Tamil Nadu,Ramanathapuram,Anwhar Raajhaa.A,AIADMK,119324,2014
Tamil Nadu,Krishnagiri,Sugavanam. E. G,DMK,119222,2004
Tamil Nadu,Thanjavur,Palanimanickam. S. S.,DMK,119148,2004
Rajasthan,Barmer,Harish Choudhary,INC,119106,2009
Karnataka,Chikkodi,Annasaheb Shankar Jolle,BJP,118877,2019
Haryana,Kurukshetra,Naveen Jindal,INC,118729,2009
Karnataka,Belgaum,Suresh Chanabasappa Angadi,BJP,118687,2009
Madhya Pradesh,Khargone,Arun Suchash Chandra Yadav,INC,118638,2004
Chhattisgarh,Mahasamund,Ajit Jogi,INC,118505,2004
Jammu And Kashmir,Udhampur,Prof. Chaman Lal Gupta,BJP,118307,1999
West Bengal,Midnapore,Probodh Panda,CPI,118193,1999
West Bengal,Durgapur,Sunil Khan,CPM,117963,1999
Maharashtra,Yavatmal-Washim,Bhavana Pundlikrao Gawali,SHS,117939,2019
Bihar,Bhagalpur,Sushil Kumar Modi,BJP,117853,2004
Bihar,Valmiki Nagar,Satish Chandra Dubey,BJP,117793,2014
Uttar Pradesh,Pratapgarh,Sangam Lal Gupta,BJP,117752,2019
Karnataka,Raichur,Raja Amareshwara Naik,BJP,117716,2019
Bihar,Buxar,Ashwini Kumar Choubey,BJP,117609,2019
Kerala,Mukundapuram,Lonappan Nambadan,CPM,117097,2004
Bihar,Siwan,Kavita Singh JD,JD(U),116958,2019
Karnataka,Bidar,Bhagwanth Khuba,BJP,116834,2019
Bihar,Nalanda,Ramswaroop Prasad,JD(U),116733,2004
West Bengal,Arambagh,Anil Basu,CPM,116721,1999
Bihar,Purnia,Santosh Kumar,JD(U),116669,2014
Karnataka,Kanakapura,Tejashwini See Ramesh,INC,116663,2004
Assam,Dhubri,Anwar Hussain,INC,116622,2004
Karnataka,Bagalkot,Gaddigoudar Parvtagouda Chandanagouda,BJP,116560,2014
Madhya Pradesh,Chhindwara,Kamal Nath,INC,116537,2014
Orissa,Kalahandi,Bikram Keshari Deo,BJP,116519,1999
Rajasthan,Banswara,Tara Chand Bhagora,INC,116264,1999
Bihar,Monghyr,Jay Prakash Narayan Yadav,RJD,115927,2004
Chhattisgarh,Rajnandgaon,Madhusudan Yadav,BJP,115878,2009
Uttar Pradesh,Kannauj,Akhilesh Yadav,SP,115864,2009
Uttar Pradesh,Sambhal,Mulayam Singh Yadav,SP,115834,1999
Uttar Pradesh,Banda,Bhairon Prasad Mishra,BJP,115788,2014
Haryana,Sirsa,Charanjeet Singh Rori,INLD,115736,2014
Kerala,Malappuram,E. Ahamed,IUML,115597,2009
Bihar,Gaya,Hari Manjhi,BJP,115504,2014
Uttar Pradesh,Rampur,Begum Noor Bano Urf Mahtab Zamani Begum,INC,115471,1999
Maharashtra,Ratnagiri,Anant Gangaram Geete,SHS,115343,1999
Andhra Pradesh,Adilabad,Ramesh Rathod,TDP,115087,2009
Jharkhand,Dumka,Shibu Soren,JMM,115015,2004
Rajasthan,Dausa,Sachin Pilot,INC,114865,2004
Bihar,Katihar,Tariq Anwar,NCP,114740,2014
Andhra Pradesh,Narsapuram,Bapi Raju Kanumuri,INC,114690,2009
Andhra Pradesh,Vijayawada,Rajagopal Lagadapati,INC,114587,2004
West Bengal,Bardhaman Purba,Sunil Kumar Mondal,AITC,114479,2014
Uttar Pradesh,Firozabad,Akshay Yadav,SP,114059,2014
Orissa,Jajpur,Jagannath Mallik,BJD,113984,1999
Andhra Pradesh,Hyderabad,Asaduddin Owaisi,AIMIM,113865,2009
Bihar,Siwan,Om Prakash Yadav,BJP,113847,2014
Uttar Pradesh,Aonla,Dharmendra Kashyap,BJP,113743,2019
Punjab,Ludhiana,Manish Tewari,INC,113706,2009
Karnataka,Dharwad,Pralhad Joshi,BJP,113657,2014
Meghalaya,Tura,Purno Agitok Sangma,NCP,113579,1999
Madhya Pradesh,Morena,Shri Narendra Singh Tomar,BJP,113341,2019
Rajasthan,Jodhpur,Jaswant Singh Vishnoi,BJP,113297,1999
Uttar Pradesh,Agra,Raj Babbar,SP,112982,1999
Maharashtra,Rajapur,Suresh Prabhakar Prabhu,SHS,112850,1999
West Bengal,Alipurduars,Manohar Tirkey,RSP,112822,2009
Maharashtra,Mumbai-South,Milind Murli Deora,INC,112682,2009
Uttar Pradesh,Salempur,Ravindra Kushawaha,BJP,112477,2019
Uttar Pradesh,Nainital,Narayan Datt Tiwari,INC,112407,1999
West Bengal,Joynagar,Sanat Kumar Mondal,RSP,112301,1999
Orissa,Bhubaneswar,Prasanna Kumar Patasani,BJD,112279,2004
West Bengal,Darjeeling,S.P. Lepcha,CPM,111969,1999
Chhattisgarh,Rajnandgaon,Shri Santosh Pandey,BJP,111966,2019
Madhya Pradesh,Khajuraho,Dr. Ramkrishna Kushmariya,BJP,111781,2004
Andhra Pradesh,Nandyal,S. P. Y. Reddy,INC,111679,2004
West Bengal,Kanthi,Sisir Adhikari,AITC,111668,2019
West Bengal,Bangaon,Shri Shantanu Thakur,BJP,111594,2019
Rajasthan,Bharatpur,Vishvendra Singh,BJP,111349,2004
Kerala,Ernakulam,Adv. George Eden,INC,111305,1999
Rajasthan,Tonk-Sawai Madhopur,Shri Sukhbir Singh Jaunapuria,BJP,111291,2019
Kerala,Pathanamthitta,Anto Antony,INC,111206,2009
Rajasthan,Sawai Madhopur,Namo Narain,INC,111163,2004
West Bengal,Malda,Abul Barkat Ataul G K Choudhury,INC,111108,2004
Kerala,Quilon,P. Rajendran,CPM,111071,2004
Bihar,Sitamarhi,Dr. Arjun Roy,JD(U),110566,2009
Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,110469,2014
Andhra Pradesh,Rajampet,Sai Prathap Annayyagari,INC,110377,2009
Uttar Pradesh,Khurja,Ashok Kumar Pradhan,BJP,110298,1999
Uttar Pradesh,Kheri,Ajay Kumar,BJP,110274,2014
Bihar,Paschim Champaran,Dr. Sanjay Jaiswal,BJP,110254,2014
Punjab,Sangrur,Bhagwant Mann,AAP,110211,2019
Uttar Pradesh,Barabanki,Upendra Singh Rawat,BJP,110140,2019
Uttar Pradesh,Rampur,M. Azam Khan,SP,109997,2019
West Bengal,Barasat,Dr Kakoli ghoshdastidar,AITC,109983,2019
Tamil Nadu,Ramanathapuram,Bhavani Rajenthiran. M. S. K.,DMK,109950,2004
Tamil Nadu,Arakkonam,S. Jagathrakshakan,DMK,109796,2009
Madhya Pradesh,Jabalpur,Jaishree Banerjee ( Bhabhi Ji),BJP,109754,1999
Andhra Pradesh,Adilabad,Dr. S. Venugopal Chary,TDP,109723,1999
West Bengal,Basirhat,Idris Ali,AITC,109659,2014
Punjab,Amritsar,Navjot Singh Sidhu,BJP,109532,2004
Maharashtra,Bhiwandi,Kapil Moreshwar Patil,BJP,109450,2014
West Bengal,Kolkata Uttar,Sudip Bandyopadhyay,AITC,109278,2009
Bihar,Munger,Veena Devi,LJP,109084,2014
Mizoram,Mizoram,C. L. Ruala,INC,108955,2009
West Bengal,Jalpaiguri,Minati Sen,CPM,108937,1999
Maharashtra,Kolhapur,Mandlik Sadashivrao Dadoba,NCP,108910,1999
Andhra Pradesh,Khammam,Renuka Chowdhury,INC,108888,2004
West Bengal,Jhargram,Rupchand Murmu,CPM,108681,1999
Tamil Nadu,Kallakurichi,Adhi Sankar,DMK,108608,2009
Madhya Pradesh,Ratlam,Dileepsingh Bhuria,BJP,108447,2014
West Bengal,Joynagar,Pratima Mondal,AITC,108384,2014
West Bengal,Katwa,Mahboob Zahedi,CPM,108362,1999
Kerala,Kasaragod,P. Karunakaran,CPM,108256,2004
West Bengal,Bardhaman-Durgapur,Prof. Sk. Saidul Haque,CPM,108237,2009
Himachal Pradesh,Shimla,Dhani Ram Shandil,INC,108180,2004
West Bengal,Cooch Behar,Amar Roy Pradhan,FBL,108165,1999
Madhya Pradesh,Sidhi,Riti Pathak,BJP,108046,2014
West Bengal,Ghatal,Deepak Adhikari,AITC,107973,2019
Uttar Pradesh,Amethi,Rahul Gandhi,INC,107903,2014
Meghalaya,Shillong,Vincent H Pala,INC,107868,2009
West Bengal,Bankura,Basudeb Acharia,CPM,107802,2009
Assam,Silchar,Sontosh Mohan Dev,INC,107752,1999
Maharashtra,Nandurbar,Gavit Manikrao Hodlya,INC,107621,2004
Tamil Nadu,Vellore,Abdul Rahman,DMK,107393,2009
West Bengal,Bardhaman-Durgapur,Dr. Mamtaz Sanghamita,AITC,107331,2014
Rajasthan,Jaipur,Girdhari Lal Bhargava,BJP,107186,2004
Delhi,South Delhi,Ramesh Bidhuri,BJP,107000,2014
West Bengal,Bankura,Acharia Basudeb,CPM,106998,1999
West Bengal,Balurghat,Arpita Ghosh,AITC,106964,2014
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,TDP,106911,2014
Maharashtra,Nandurbar,Dr.Gavit Heena Vaijaykumar,BJP,106905,2014
Tamil Nadu,Arani,M. Krishnasswamy,INC,106830,2009
Delhi,North West Delhi,Udit Raj,BJP,106802,2014
West Bengal,Bolpur,Asit Kumar Mal,AITC,106402,2019
Maharashtra,Akola,Dhotre Sanjay Shamrao,BJP,106371,2004
Tamil Nadu,Nagapattinam,Gopal. Dr. K,AIADMK,106079,2014
Uttar Pradesh,Jalesar,Pro. S.P Singh Baghel,SP,106068,2004
Andhra Pradesh,Ongole,Sreenivasulu Reddy Magunta,INC,106021,2004
Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,106003,2009
Bihar,Vaishali,Raghubansh Prasad Singh,RJD,105935,2004
Bihar,Nalanda,George Fernandes,JD(U),105821,1999
Andhra Pradesh,Nandyal,S.P.Y Reddy,YSRCP,105766,2014
Jharkhand,Jamshedpur,Sunil Kumar Mahato,JMM,105633,2004
Goa,North Goa,Shripad Yesso Naik,BJP,105599,2014
Bihar,Hajipur,Ram Vilas Paswan,JD(U),105504,1999
Jharkhand,Hazaribagh,Bhubneshwar Prasad Mehta,CPI,105328,2004
Uttar Pradesh,Domariyaganj,Jagdambika Pal,BJP,105321,2019
Punjab,Ludhiana,Gurcharan Singh Galib,INC,105246,1999
Bihar,Karakat,Upendra Kushwaha,RLSP,105241,2014
Uttar Pradesh,Basti,Arvind Kumar Chaudhary,BSP,105210,2009
West Bengal,Raiganj,Smt. Deepa Dasmunsi,INC,105203,2009
Tamil Nadu,Nilgiris,"Gopalakrishnan, C.",AIADMK,104940,2014
Rajasthan,Pali,Pusp Jain,BJP,104666,1999
Maharashtra,Erandol,Annasaheb M K Patil,BJP,104456,1999
Bihar,Samastipur,Maheshwar Hazari,JD(U),104376,2009
Punjab,Hoshiarpur,Avinash Rai Khanna,BJP,104371,2004
Madhya Pradesh,Dhar,Savitri Thakur,BJP,104328,2014
Orissa,Bolangir,Kalikesh Narayan Singh Deo,BJD,104299,2014
Bihar,Maharajganj,Prabhunath Singh,JD(U),104063,1999
Uttarakhand,Nainital,Mahendra Singh Pal,INC,103873,1999
West Bengal,Howrah,Prasun Banerjee,AITC,103695,2019
Uttar Pradesh,Domariyaganj,Jagdambika Pal,BJP,103588,2014
Bihar,Siwan,Mohammad Shahabuddin,RJD,103578,2004
Chhattisgarh,Surguja,Nand Kumar Sai,BJP,103452,2004
West Bengal,Howrah,Swadesh Chakraborty,CPM,103449,1999
Bihar,Gaya,Rajesh Kumar Manjhi,RJD,102934,2004
Punjab,Amritsar,Captain Amarinder Singh,INC,102770,2014
Kerala,Ponnani,E. Ahammed,MUL,102758,2004
Madhya Pradesh,Khandwa,Nand Kumar Singh Chauhan ( Nandu Bhaiya),BJP,102737,2004
Uttar Pradesh,Pilibhit,Maneka Gandhi,BJP,102720,2004
Tamil Nadu,Sriperumbudur,"Ramachandran, K.N. Thiru",AIADMK,102646,2014
