State,Constituency Name,Candidate,Party,Votes Margin,Year
Madhya Pradesh,Betul,Shri Durgadas Uike,BJP,360241,2019
Haryana,Karnal,Ashwini Kumar,BJP,360147,2014
Jammu & Kashmir,Udhampur,Dr. Jitendra Singh,BJP,357252,2019
Tamil Nadu,Thiruvallur,Dr.K.Jayakumar,INC,356955,2019
West Bengal,Baharampur,Adhir Ranjan Chowdhury,INC,356567,2014
Assam,Kokrajhar,Naba Kumar Sarania (Hira),IND,355779,2014
Bihar,Valmiki Nagar,Baidyanath Prasad Mahato,JD(U),354616,2019
Gujarat,Valsad,Dr. K.C. Patel,BJP,353797,2019
Nagaland,Nagaland,K. Asungba Sangtam,INC,353598,1999
Madhya Pradesh,Damoh,Shri Prahlad Patel,BJP,353411,2019
Uttar Pradesh,Rae Bareli,Sonia Gandhi,INC,352713,2014
West Bengal,Jhargram,Rupchand Murmu,CPM,351343,2004
Assam,Lakhimpur,Pradan Baruah,BJP,350551,2019
West Bengal,Basirhat,Nusrat Jahan,AITC,350369,2019
Telangana,Warangal,Dayakar Pasunoori,TRS,350298,2019
Karnataka,Udupi Chikmagalur,Shobha Karandlaje,BJP,349599,2019
Chhattisgarh,Raipur,Shri Sunil Soni,BJP,348238,2019
Madhya Pradesh,Tikamgarh,Shri Virendra Kumar Khateek,BJP,348059,2019
West Bengal,Jhargram,Uma Saren,AITC,347883,2014
Uttar Pradesh,Lucknow,Rajnath Singh,BJP,347302,2019
Tamil Nadu,Thoothukkudi,Kanimozhi Karunanidhi,DMK,347209,2019
West Bengal,Arambagh,Aparupa Poddar (Afrin Ali),AITC,346845,2014
Assam,Gauhati,Queen Oja,BJP,345606,2019
Maharashtra,Kalyan,Dr. Shrikant Eknath Shinde,SHS,344343,2019
Uttar Pradesh,Kairana,Anuradha Choudhary,RLD,342414,2004
Haryana,Ambala,Shri Ratan Lal Katariya,BJP,342345,2019
Uttar Pradesh,Maharajganj,Pankaj Choudhary,BJP,340424,2019
Bihar,Sheohar,Smt. Rama Devi,BJP,340360,2019
Haryana,Ambala,Rattan Lal Kataria,BJP,340074,2014
Uttarakhand,Nainital-Udhamsingh Nagar,Shri Ajay Bhatt,BJP,339096,2019
Uttar Pradesh,Mainpuri,Mulayam Singh Yadav,SP,337870,2004
Uttar Pradesh,Kushi Nagar,Vijay Kumar Dubey,BJP,337560,2019
Uttar Pradesh,Gautam Buddha Nagar,Mahesh Sharma,BJP,336922,2019
Maharashtra,Baramati,Smt. Supriya Sadanand Sule,NCP,336831,2009
Maharashtra,Raver,Smt. Raksha Nikhil Khadse,BJP,335882,2019
Rajasthan,Churu,"Shri Rahul Kaswan, MP",BJP,334402,2019
Gujarat,Bharuch,Shri Mansukhbhai Dhanjibhai Vasava,BJP,334214,2019
Rajasthan,Jaipur Rural,Rajyavardhan Singh Rathore,BJP,332896,2014
Maharashtra,Jalna,Shri Raosaheb Patil Danve,BJP,332815,2019
